owner_org,title,ati_email,packages,created,faa_schedule,opengov_email
sshrc-crsh,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada,ATIP-AIPRP@sshrc-crsh.gc.ca,9,2016-09-23,2,
statcan,Statistics Canada | Statistique Canada,ATIP-AIPRP@statcan.gc.ca,9876,2016-09-23,1.1,
stjpa-apstj,Saint John Port Authority | Administration portuaire de Saint John,pcopeland@sjport.com,0,2018-07-27,NA,
swc-cfc,Status of Women Canada | Condition féminine Canada,anick.perreault@swc-cfc.gc.ca,0,2016-09-23,NA,tina.sparrow@swc-cfc.gc.ca
tbpa-aptb,Thunder Bay Port Authority | Administration portuaire de Thunder Bay,tbport@tbaytel.net,0,2018-07-27,NA,
tbs-sct,Treasury Board of Canada Secretariat | Secrétariat du Conseil du Trésor du Canada,atip.aiprp@tbs-sct.gc.ca,284,2016-09-23,NA,
tc,Transport Canada | Transports Canada,ATIP/AIPRP@tc.gc.ca,58,2016-09-23,1,
tf,Telefilm Canada | Téléfilm Canada,ATIP-AIPRP@telefilm.ca,4,2016-09-23,NA,
tmc,Trans Mountain Corporation | Trans Mountain Corporation,atip-aiprp@cdev.gc.ca,0,2019-05-11,NA,
tmp,Canada TMP Finance Ltd. | Financière Canada TMP Ltée,atip-aiprp@cdev.gc.ca,0,2019-05-11,NA,
tpa-apt,Toronto Port Authority | Administration portuaire de Toronto,DEl-Jawhary@portstoronto.com,0,2016-09-23,NA,
tsb-bst,Transportation Safety Board of Canada | Bureau de la sécurité des transports du Canada,AIPRP-ATIP@bst-tsb.gc.ca,376,2016-09-23,NA,
vac-acc,Veterans Affairs Canada | Anciens Combattants Canada,atip-aiprp@veterans.gc.ca,138,2016-09-23,1,
vfpa-apvf,Vancouver Fraser Port Authority | Administration portuaire Vancouver Fraser,AccesstoInformation@portmetrovancouver.com,1,2016-09-23,NA,
viarail,VIA Rail Canada Inc. | VIA Rail Canada Inc.,ATIP@viarail.ca,0,2016-09-23,3,
vrab-tacra,Veterans Review and Appeal Board | Tribunal des anciens combattants (révision et appel),atip-aiprp@vrab-tacra.gc.ca,14,2016-09-23,1.1,
wage,Women and Gender Equality Canada | Femmes et Égalité des genres Canada,FEGC.AIPRP-ATIP.WAGE@fegc-wage.gc.ca,22,2019-03-30,1,
wd-deo,Western Economic Diversification Canada | Diversification de l'économie de l'Ouest Canada,atip-aiprp@prairiescan.gc.ca,16,2016-09-23,1,
wdba-apwd,Windsor-Detroit Bridge Authority | Autorité du pont Windsor-Détroit,Heather.Grondin@wdbridge.com,2,2016-09-23,3,
yesab-oeesy,Yukon Environmental and Socio-economic Assessment Board | Office d’évaluation environnementale et socio-économique du Yukon,atip@yesab.ca,0,2016-09-23,NA,
