Year,Month,Organization Name - EN,Organization Name - FR,owner_org,Number of Informal Requests,Unique Packages
2024,5,Canadian Museum for Human Rights,Musée canadien pour les droits de la personne,cmhr-mcdp,1,1
2024,5,Canadian Museum of History,Musée canadien de l'histoire,cmc-mcc,2,2
2024,5,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,cannor,14,14
2024,5,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc-ccsn,108,103
2024,5,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,43,42
2024,5,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,csis-scrs,85,80
2024,5,Canadian Space Agency,Agence spatiale canadienne,csa-asc,55,53
2024,5,Canadian Transportation Agency,Office des transports du Canada,cta-otc,19,17
2024,5,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,cpc-cpp,3,3
2024,5,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,csec-cstc,10,10
2024,5,Correctional Service of Canada,Service correctionnel du Canada,csc-scc,351,348
2024,5,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,aandc-aadnc,97,94
2024,5,Defence Construction Canada,Construction de Défense Canada,dcc-cdc,4,4
2024,5,Department of Finance Canada,Ministère des Finances Canada,fin,387,373
2024,5,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",infc,13,13
2024,5,Department of Justice Canada,Ministère de la Justice Canada,jus,49,46
2024,5,Elections Canada,Élections Canada,elections,17,17
2024,5,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,510,501
2024,5,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,153,150
2024,5,Export Development Canada,Exportation et développement Canada,edc,4,4
2024,5,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,feddevontario,16,16
2024,5,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,fcac-acfc,6,5
2024,5,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac-canafe,29,28
2024,5,Fisheries and Oceans Canada,Pêches et Océans Canada,dfo-mpo,423,418
2024,5,Global Affairs Canada,Affaires mondiales Canada,dfatd-maecd,412,405
2024,5,Hamilton-Oshawa  Port Authority,Administration portuaire de Hamilton-Oshawa,hampa-apham,1,1
2024,5,Health Canada,Santé Canada,hc-sc,1263,1251
2024,5,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb-cisr,4,4
2024,5,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,871,658
2024,5,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,iaac-aeic,33,33
2024,5,Indigenous Services Canada,Services aux Autochtones Canada,isc-sac,207,201
2024,5,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,516,505
2024,5,Invest in Canada,Investir Au Canada,iic-iac,1,1
2024,5,Library and Archives Canada,Bibliothèque et Archives Canada,lac-bac,148,129
2024,5,Marine Atlantic Inc.,Marine Atlantique S.C.C.,mai,3,3
2024,5,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,mpcc-cppm,4,4
2024,5,National Capital Commission,Commission de la capitale nationale,ncc-ccn,4,3
2024,5,National Defence,Défense nationale,dnd-mdn,699,675
2024,5,National Research Council Canada,Conseil national de recherches Canada,nrc-cnrc,8,8
2024,5,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,nsira-ossnr,6,6
2024,5,Natural Resources Canada,Ressources naturelles Canada,nrcan-rncan,374,368
2024,5,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,nserc-crsng,20,20
2024,5,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,oag-bvg,1,1
2024,5,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,ocol-clo,7,7
2024,5,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada,oic-ci,17,16
2024,5,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,opc-cpvp,34,28
2024,5,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,osfi-bsif,7,5
2024,5,Office of the Veterans Ombudsman,Bureau de l'ombudsman des vétérans,ovo-bov,4,4
2024,5,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique,pacifican,51,51
2024,5,Parks Canada,Parcs Canada,pc,223,220
2024,5,Parole Board of Canada,Commission des libérations conditionnelles du Canada,pbc-clcc,20,20
2024,5,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada,pmprb-cepmb,34,33
2024,5,Port of Belledune,Port de Belledune,pb,1,1
2024,5,Prairies Economic Development Canada,Développement économique Canada pour les Prairies,prairiescan,8,8
2024,5,Privy Council Office,Bureau du Conseil privé,pco-bcp,124,113
2024,5,Public Health Agency of Canada,Agence de la santé publique du Canada,phac-aspc,323,319
2024,5,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,ppsc-sppc,50,50
2024,5,Public Safety Canada,Sécurité publique Canada,ps-sp,53,52
2024,5,Public Sector Pension Investment Board,Office d’investissement des régimes de pensions du secteur public,pspib-oirpsp,1,1
2024,5,Public Service Commission of Canada,Commission de la fonction publique du Canada,psc-cfp,17,17
2024,5,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,pwgsc-tpsgc,519,505
2024,5,Royal Canadian Mint,Monnaie royale canadienne,mint-monnaie,18,18
2024,5,Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp-grc,347,323
2024,5,Shared Services Canada,Services partagés Canada,ssc-spc,175,166
2024,5,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,sshrc-crsh,5,5
2024,5,Standards Council of Canada,Conseil canadien des normes,scc-ccn,4,2
2024,5,Statistics Canada,Statistique Canada,statcan,33,31
2024,5,Sustainable Development Technology Canada,Technologies du développement durable Canada,sdtc-tddc,1,1
2024,5,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,oci-bec,3,3
2024,5,The National Battlefields Commission,Commission des champs de bataille nationaux,nbc-ccbn,1,1
2024,5,Transport Canada,Transports Canada,tc,415,404
2024,5,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,tsb-bst,27,27
2024,5,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,tbs-sct,133,103
2024,5,VIA Rail Canada Inc.,VIA Rail Canada Inc.,viarail,4,4
2024,5,Vancouver Fraser Port Authority,Administration portuaire Vancouver Fraser,vfpa-apvf,2,2
2024,5,Veterans Affairs Canada,Anciens Combattants Canada,vac-acc,54,52
2024,5,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),vrab-tacra,3,3
2024,5,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada,wd-deo,1,1
2024,5,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,wage,46,45
2024,4,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,aafc-aac,28,23
2024,4,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,acoa-apeca,64,64
2024,4,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",aecl-eacl,3,3
2024,4,Business Development Bank of Canada,Banque de développement du Canada,bdc,2,1
2024,4,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,82,71
2024,4,Canada Council for the Arts,Conseil des arts du Canada,cca-cac,3,3
2024,4,Canada Development Investment Corporation,Corporation de développement des investissements du Canada,cdev,17,16
2024,4,Canada Energy Regulator,La Régie de l’énergie du Canada,cer-rec,5,5
2024,4,Canada Foundation for Innovation,Fondation canadienne pour l’innovation,innovation,1,1
2024,4,Canada Infrastructure Bank,La Banque de l’infrastructure du Canada,cib-bic,1,1
2024,4,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,cmhc-schl,14,12
2024,4,Canada Post,Postes Canada,cpc-scp,3,3
2024,4,Canada Revenue Agency,Agence du revenu du Canada,cra-arc,47,47
2024,4,Canada School of Public Service,École de la fonction publique du Canada,csps-efpc,7,7
2024,4,Canada Science and Technology Museum,Musée des sciences et de la technologie du Canada,cstm-mstc,2,2
2024,4,Canada-Newfoundland and Labrador Offshore Petroleum Board,Office Canada–Terre-Neuve-et Labrador des hydrocarbures extracôtiers,cnlopb,16,16
2024,4,Canada-Nova Scotia Offshore Energy Regulator ,Régie Canada-Nouvelle-Écosse de l’énergie extracôtière ,cnsopb,6,2
2024,4,Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,catsa-acsta,1,1
2024,4,Canadian Centre for Occupational Health and Safety,Centre canadien d'hygiène et de sécurité au travail,ccohs-cchst,6,6
2024,4,Canadian Commercial Corporation,Corporation commerciale canadienne,ccc,2,2
2024,4,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia-acia,117,115
2024,4,Canadian Heritage,Patrimoine canadien,pch,75,73
2024,4,Canadian Human Rights Commission,Commission canadienne des droits de la personne,chrc-ccdp,4,4
2024,4,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,cihr-irsc,14,14
2024,4,Canadian Museum of History,Musée canadien de l'histoire,cmc-mcc,2,2
2024,4,Canadian Northern Economic Development Agency,Agence canadienne de développement économique du Nord,cannor,10,10
2024,4,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc-ccsn,131,130
2024,4,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,13,12
2024,4,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,csis-scrs,99,87
2024,4,Canadian Space Agency,Agence spatiale canadienne,csa-asc,17,17
2024,4,Canadian Transportation Agency,Office des transports du Canada,cta-otc,14,14
2024,4,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,cpc-cpp,1,1
2024,4,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,csec-cstc,12,10
2024,4,Correctional Service of Canada,Service correctionnel du Canada,csc-scc,376,369
2024,4,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,aandc-aadnc,80,74
2024,4,Defence Construction Canada,Construction de Défense Canada,dcc-cdc,4,4
2024,4,Department of Finance Canada,Ministère des Finances Canada,fin,51,50
2024,4,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",infc,7,7
2024,4,Department of Justice Canada,Ministère de la Justice Canada,jus,190,186
2024,4,Elections Canada,Élections Canada,elections,11,11
2024,4,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,404,396
2024,4,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,137,130
2024,4,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l’Ontario,fednor,1,1
2024,4,Federal Economic Development Agency for Southern Ontario,Agence fédérale de développement économique pour le Sud de l'Ontario,feddevontario,8,8
2024,4,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,fcac-acfc,13,13
2024,4,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac-canafe,10,10
2024,4,Fisheries and Oceans Canada,Pêches et Océans Canada,dfo-mpo,125,119
2024,4,Global Affairs Canada,Affaires mondiales Canada,dfatd-maecd,169,163
2024,4,Great Lakes Pilotage Authority Canada,Administration de pilotage des Grands Lacs Canada,glpa-apgl,2,2
2024,4,Halifax Port Authority,Administration portuaire de Halifax,halpa-aphal,1,1
2024,4,Hamilton-Oshawa  Port Authority,Administration portuaire de Hamilton-Oshawa,hampa-apham,1,1
2024,4,Health Canada,Santé Canada,hc-sc,435,423
2024,4,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb-cisr,9,9
2024,4,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,3519,3282
2024,4,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,iaac-aeic,5,5
2024,4,Indigenous Services Canada,Services aux Autochtones Canada,isc-sac,94,92
2024,4,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,91,85
2024,4,Jacques Cartier and Champlain Bridges Incorporated,Ponts Jacques Cartier et Champlain Incorporée,jccbi-pjcci,3,3
2024,4,Library and Archives Canada,Bibliothèque et Archives Canada,lac-bac,95,93
2024,4,Marine Atlantic Inc.,Marine Atlantique S.C.C.,mai,17,17
2024,4,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,mpcc-cppm,1,1
2024,4,National Capital Commission,Commission de la capitale nationale,ncc-ccn,5,5
2024,4,National Defence,Défense nationale,dnd-mdn,293,270
2024,4,National Gallery of Canada,Musée des beaux-arts du Canada,ngc-mbac,18,18
2024,4,National Research Council Canada,Conseil national de recherches Canada,nrc-cnrc,1,1
2024,4,Natural Resources Canada,Ressources naturelles Canada,nrcan-rncan,158,158
2024,4,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,nserc-crsng,13,13
2024,4,Office of the Administrator of the Fund for Railway Accidents Involving Designated Goods; (operating under the name) Ship and Rail Compensation Canada,Bureau de l’administrateur de la Caisse d’indemnisation pour les accidents ferroviaires impliquant des marchandises désignées; (qui mène ses activités sous le nom de) Indemnisation Navire et Rail Canada,fraidg-ciafimd,2,2
2024,4,Office of the Administrator of the Ship-source Oil Pollution Fund; (operating under the name) Ship and Rail Compensation Canada,Bureau de l’administrateur de la Caisse d’indemnisation des dommages dus à la pollution par les hydrocarbures causée par les navires; (qui mène ses activités sous le nom de) Indemnisation Navire et Rail Canada,sopf-cidp,3,3
2024,4,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,ocl-cal,2,2
2024,4,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada,oic-ci,1,1
2024,4,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,opc-cpvp,61,60
2024,4,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,osfi-bsif,1,1
2024,4,Office of the Veterans Ombudsman,Bureau de l'ombudsman des vétérans,ovo-bov,2,2
2024,4,Pacific Economic Development Canada,Développement économique Canada pour le Pacifique,pacifican,1,1
2024,4,Parks Canada,Parcs Canada,pc,53,52
2024,4,Parole Board of Canada,Commission des libérations conditionnelles du Canada,pbc-clcc,1,1
2024,4,Prairies Economic Development Canada,Développement économique Canada pour les Prairies,prairiescan,2,2
2024,4,Prince Rupert Port Authority,L’Administration portuaire de Prince Rupert,prpa-appr,1,1
2024,4,Privy Council Office,Bureau du Conseil privé,pco-bcp,252,245
2024,4,Public Health Agency of Canada,Agence de la santé publique du Canada,phac-aspc,237,231
2024,4,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,ppsc-sppc,32,29
2024,4,Public Safety Canada,Sécurité publique Canada,ps-sp,54,52
2024,4,Public Sector Pension Investment Board,Office d’investissement des régimes de pensions du secteur public,pspib-oirpsp,1,1
2024,4,Public Service Commission of Canada,Commission de la fonction publique du Canada,psc-cfp,12,12
2024,4,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,pwgsc-tpsgc,111,105
2024,4,RCMP External Review Committee,Comité externe d'examen de la GRC,erc-cee,1,1
2024,4,Royal Canadian Mint,Monnaie royale canadienne,mint-monnaie,7,6
2024,4,Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp-grc,212,208
2024,4,Shared Services Canada,Services partagés Canada,ssc-spc,28,28
2024,4,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,sshrc-crsh,2,2
2024,4,Standards Council of Canada,Conseil canadien des normes,scc-ccn,2,2
2024,4,Statistics Canada,Statistique Canada,statcan,53,53
2024,4,Sustainable Development Technology Canada,Technologies du développement durable Canada,sdtc-tddc,2,2
2024,4,Telefilm Canada,Téléfilm Canada,tf,12,11
2024,4,The National Battlefields Commission,Commission des champs de bataille nationaux,nbc-ccbn,2,2
2024,4,The Seaway International Bridge Corporation,"Corporation du pont international de la voie maritime, Ltée",sibc-cpivml,2,2
2024,4,Transport Canada,Transports Canada,tc,370,368
2024,4,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,tsb-bst,32,32
2024,4,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,tbs-sct,56,53
2024,4,VIA Rail Canada Inc.,VIA Rail Canada Inc.,viarail,70,69
2024,4,Vancouver Fraser Port Authority,Administration portuaire Vancouver Fraser,vfpa-apvf,66,66
2024,4,Veterans Affairs Canada,Anciens Combattants Canada,vac-acc,42,40
2024,4,Veterans Review and Appeal Board,Tribunal des anciens combattants (révision et appel),vrab-tacra,6,6
2024,4,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada,wd-deo,51,51
2024,4,Women and Gender Equality Canada,Femmes et Égalité des genres Canada,wage,36,36
2024,3,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,atssc-scdata,4,2
2024,3,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,aafc-aac,18,15
2024,3,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,acoa-apeca,2,2
2024,3,Business Development Bank of Canada,Banque de développement du Canada,bdc,12,12
2024,3,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,62,43
2024,3,Canada Development Investment Corporation,Corporation de développement des investissements du Canada,cdev,3,3
2024,3,Canada Infrastructure Bank,La Banque de l’infrastructure du Canada,cib-bic,1,1
2024,3,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,cmhc-schl,7,7
2024,3,Canada Post,Postes Canada,cpc-scp,2,2
2024,3,Canada Revenue Agency,Agence du revenu du Canada,cra-arc,44,42
2024,3,Canada School of Public Service,École de la fonction publique du Canada,csps-efpc,2,2
2024,3,Canadian Air Transport Security Authority,Administration canadienne de la sûreté du transport aérien,catsa-acsta,2,1
2024,3,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia-acia,35,35
2024,3,Canadian Grain Commission,Commission canadienne des grains,cgc-ccg,2,2
2024,3,Canadian Heritage,Patrimoine canadien,pch,20,20
2024,3,Canadian Human Rights Commission,Commission canadienne des droits de la personne,chrc-ccdp,1,1
2024,3,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,cihr-irsc,3,3
2024,3,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc-ccsn,3,2
2024,3,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,1,1
2024,3,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,csis-scrs,44,32
2024,3,Canadian Space Agency,Agence spatiale canadienne,csa-asc,7,5
2024,3,Civilian Review and Complaints Commission for the RCMP,Commission civile d'examen et de traitement des plaintes relatives à la Gendarmerie royale du Canada,cpc-cpp,1,1
2024,3,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,csec-cstc,3,2
2024,3,Correctional Service of Canada,Service correctionnel du Canada,csc-scc,6,6
2024,3,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,aandc-aadnc,29,29
2024,3,Defence Construction Canada,Construction de Défense Canada,dcc-cdc,1,1
2024,3,Department of Finance Canada,Ministère des Finances Canada,fin,29,26
2024,3,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",infc,4,4
2024,3,Department of Justice Canada,Ministère de la Justice Canada,jus,17,16
2024,3,Elections Canada,Élections Canada,elections,2,2
2024,3,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,7,7
2024,3,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,6,4
2024,3,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac-canafe,7,6
2024,3,Fisheries and Oceans Canada,Pêches et Océans Canada,dfo-mpo,24,21
2024,3,Global Affairs Canada,Affaires mondiales Canada,dfatd-maecd,88,74
2024,3,Health Canada,Santé Canada,hc-sc,15,14
2024,3,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb-cisr,4,4
2024,3,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,459,308
2024,3,Indigenous Services Canada,Services aux Autochtones Canada,isc-sac,18,16
2024,3,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,14,13
2024,3,Library and Archives Canada,Bibliothèque et Archives Canada,lac-bac,53,47
2024,3,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,mpcc-cppm,1,1
2024,3,National Capital Commission,Commission de la capitale nationale,ncc-ccn,4,4
2024,3,National Defence,Défense nationale,dnd-mdn,93,82
2024,3,National Gallery of Canada,Musée des beaux-arts du Canada,ngc-mbac,1,1
2024,3,National Research Council Canada,Conseil national de recherches Canada,nrc-cnrc,2,2
2024,3,Natural Resources Canada,Ressources naturelles Canada,nrcan-rncan,10,10
2024,3,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,ocol-clo,7,1
2024,3,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada,oic-ci,1,1
2024,3,Office of the Privacy Commissioner of Canada,Commissariat à la protection de la vie privée du Canada,opc-cpvp,7,7
2024,3,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,osfi-bsif,3,2
2024,3,Parks Canada,Parcs Canada,pc,8,7
2024,3,Parole Board of Canada,Commission des libérations conditionnelles du Canada,pbc-clcc,5,5
2024,3,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada,pmprb-cepmb,1,1
2024,3,Privy Council Office,Bureau du Conseil privé,pco-bcp,98,71
2024,3,Public Health Agency of Canada,Agence de la santé publique du Canada,phac-aspc,14,13
2024,3,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,ppsc-sppc,2,2
2024,3,Public Safety Canada,Sécurité publique Canada,ps-sp,51,45
2024,3,Public Sector Pension Investment Board,Office d’investissement des régimes de pensions du secteur public,pspib-oirpsp,2,2
2024,3,Public Service Commission of Canada,Commission de la fonction publique du Canada,psc-cfp,9,8
2024,3,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,pwgsc-tpsgc,35,26
2024,3,Royal Canadian Mounted Police,Gendarmerie royale du Canada,rcmp-grc,61,57
2024,3,Shared Services Canada,Services partagés Canada,ssc-spc,11,10
2024,3,Statistics Canada,Statistique Canada,statcan,1,1
2024,3,Transport Canada,Transports Canada,tc,20,19
2024,3,Transportation Safety Board of Canada,Bureau de la sécurité des transports du Canada,tsb-bst,5,5
2024,3,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,tbs-sct,14,13
2024,3,VIA Rail Canada Inc.,VIA Rail Canada Inc.,viarail,7,7
2024,3,Veterans Affairs Canada,Anciens Combattants Canada,vac-acc,5,5
2024,2,Accessibility Standards Canada,Normes d’accessibilité Canada,casdo-ocena,4,4
2024,2,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,atssc-scdata,1,1
2024,2,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,aafc-aac,15,13
2024,2,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,acoa-apeca,2,2
2024,2,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",aecl-eacl,7,5
2024,2,Business Development Bank of Canada,Banque de développement du Canada,bdc,3,2
2024,2,Canada Border Services Agency,Agence des services frontaliers du Canada,cbsa-asfc,89,64
2024,2,Canada Council for the Arts,Conseil des arts du Canada,cca-cac,7,7
2024,2,Canada Energy Regulator,La Régie de l’énergie du Canada,cer-rec,6,4
2024,2,Canada Infrastructure Bank,La Banque de l’infrastructure du Canada,cib-bic,3,2
2024,2,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,cmhc-schl,14,12
2024,2,Canada Revenue Agency,Agence du revenu du Canada,cra-arc,125,98
2024,2,Canada School of Public Service,École de la fonction publique du Canada,csps-efpc,2,2
2024,2,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,cfia-acia,12,12
2024,2,Canadian Heritage,Patrimoine canadien,pch,57,52
2024,2,Canadian Institutes of Health Research,Instituts de recherche en santé du Canada,cihr-irsc,4,4
2024,2,Canadian Museum of History,Musée canadien de l'histoire,cmc-mcc,1,1
2024,2,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,cnsc-ccsn,15,13
2024,2,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,crtc,3,3
2024,2,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,csis-scrs,54,32
2024,2,Canadian Space Agency,Agence spatiale canadienne,csa-asc,2,2
2024,2,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,csec-cstc,6,6
2024,2,Correctional Service of Canada,Service correctionnel du Canada,csc-scc,9,9
2024,2,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,aandc-aadnc,86,81
2024,2,Department of Finance Canada,Ministère des Finances Canada,fin,35,33
2024,2,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l’Infrastructure et des Collectivités",infc,18,11
2024,2,Department of Justice Canada,Ministère de la Justice Canada,jus,39,31
2024,2,Elections Canada,Élections Canada,elections,6,5
2024,2,Employment and Social Development Canada,Emploi et Développement social Canada,esdc-edsc,16,15
2024,2,Environment and Climate Change Canada,Environnement et Changement climatique Canada,ec,20,17
2024,2,Export Development Canada,Exportation et développement Canada,edc,2,2
2024,2,Federal Bridge Corporation,Société des ponts fédéraux,fbcl-spfl,1,1
2024,2,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,fcac-acfc,3,2
2024,2,Financial Transactions and Reports Analysis Centre of Canada,Centre d'analyse des opérations et déclarations financières du Canada,fintrac-canafe,12,11
2024,2,Fisheries and Oceans Canada,Pêches et Océans Canada,dfo-mpo,30,28
2024,2,Global Affairs Canada,Affaires mondiales Canada,dfatd-maecd,158,125
2024,2,Halifax Port Authority,Administration portuaire de Halifax,halpa-aphal,2,1
2024,2,Health Canada,Santé Canada,hc-sc,30,28
2024,2,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,irb-cisr,6,5
2024,2,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",cic,469,362
2024,2,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,iaac-aeic,6,6
2024,2,Indigenous Services Canada,Services aux Autochtones Canada,isc-sac,74,65
2024,2,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",ic,35,34
2024,2,Invest in Canada,Investir Au Canada,iic-iac,1,1
2024,2,Library and Archives Canada,Bibliothèque et Archives Canada,lac-bac,96,75
2024,2,National Capital Commission,Commission de la capitale nationale,ncc-ccn,5,4
2024,2,National Defence,Défense nationale,dnd-mdn,91,69
2024,2,National Film Board,Office national du film,nfb-onf,1,1
2024,2,National Research Council Canada,Conseil national de recherches Canada,nrc-cnrc,11,11
2024,2,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,nsira-ossnr,5,5
2024,2,Natural Resources Canada,Ressources naturelles Canada,nrcan-rncan,74,70
